0.003676, 0.147059, 50
0.012768, 0.181834, 50
0.027921, 0.303050, 50
0.049134, 0.424262, 50
0.076407, 0.545475, 50
0.109743, 0.666706, 50
0.149142, 0.787979, 50
0.194609, 0.909337, 50
0.246150, 1.030833, 50
0.303778, 1.152545, 50
0.367506, 1.274569, 50
0.437357, 1.397023, 50
0.513360, 1.520053, 50
0.595551, 1.643830, 50
0.683979, 1.768550, 50
0.778700, 1.894433, 50
0.879786, 2.021723, 50
0.987321, 2.150681, 50
1.101400, 2.281583, 50
1.222135, 2.414709, 50
1.349652, 2.550335, 50
1.484088, 2.688730, 50
1.625595, 2.830137, 50
1.774334, 2.974775, 50
1.930475, 3.122821, 50
2.094196, 3.274413, 50
2.265678, 3.429642, 50
2.445106, 3.588554, 50
2.632663, 3.751154, 50
2.828534, 3.917410, 50
3.032897, 4.087267, 50
3.245930, 4.260653, 50
3.467804, 4.437493, 50
3.698691, 4.617723, 50
3.935260, 4.731392, 50
4.174052, 4.775839, 50
4.415036, 4.819685, 50
4.658186, 4.863002, 50
4.903481, 4.905892, 50
5.150905, 4.948473, 50
5.400449, 4.990882, 50
5.652112, 5.033258, 50
5.905899, 5.075744, 50
6.161823, 5.118479, 50
6.419902, 5.161588, 50
6.680161, 5.205183, 50
6.942629, 5.249349, 50
7.205107, 5.249569, 50
7.463630, 5.170443, 50
7.716361, 5.054620, 50
7.963129, 4.935374, 50
8.203761, 4.812635, 50
8.438077, 4.686327, 50
8.665897, 4.556388, 50
8.887035, 4.422775, 50
9.101309, 4.285474, 50
9.308535, 4.144515, 50
9.508533, 3.999968, 50
9.701131, 3.851950, 50
9.886162, 3.700622, 50
10.063471, 3.546186, 50
10.232915, 3.388873, 50
10.394362, 3.228943, 50
10.547695, 3.066669, 50
10.692812, 2.902331, 50
10.829622, 2.736206, 50
10.958050, 2.568562, 50
11.078033, 2.399651, 50
11.189518, 2.229703, 50
11.292464, 2.058927, 50
11.386840, 1.887502, 50
11.472619, 1.715586, 50
11.549784, 1.543308, 50
11.618323, 1.370774, 50
11.678226, 1.198070, 50
11.729489, 1.025260, 50
11.772109, 0.852389, 50
11.806083, 0.679491, 50
11.831413, 0.506586, 50
11.848097, 0.333682, 50
11.856136, 0.160784, 50
11.857994, 0.037168, 50
11.857994, 0.000000, 50
